Unique Id,School,NCAA Rank,Conference,Location,Location Rank,Colors,Color Rank,Mascot,Mascot Rank,Scores
1,Gonzaga,1,West,"Spokane, Washington",4,"#041E42, #C8102E",4,Bulldogs,5,28.0
2,Sam Houston State,16,West,"Huntsville, Texas",3,"#D88438', '#FFFFFF",3,Bearkats,4,21.75
3,St. John's,8,West,"New York City, New York",5,"#BA0C2F, #FFFFFF",5,Red Storm,1,19.25
4,NC State,9,West,"Raleigh, North Carolina",4,"#cc0000, #000000",3,Wolfpack,5,25.75
5,Florida State,5,West,"Tallahassee, Florida",2,"#782F40, #CEB888",1,Seminoles,1,7.25
6,Belmont,12,West,"Nashville, Tennessee",4,"#15105b, #a01c21",4,Bruins,1,16.0
7,Louisiana State,4,West,"Baton Rouge, Louisiana",3,"#fdd023', '#461D7C",5,Tigers,4,26.25
8,Lipscomb,13,West,"Nashville, Tennessee",4,"#331e54, #F4AA00",5,Bisons,3,24.25
9,Buffalo,6,West,"Buffalo, New York",1,"#005BBB, #FFFFFF",2,Bulls,3,14.5
10,Florida,11,West,"Gainesville, Florida",1,"#0021A5, #FA4616",5,Gators,4,24.25
11,Kansas,3,West,"Lawrence, Kansas",1,"#0051ba, #e8000d",4,Jayhawks,2,16.0
12,Montana,14,West,"Missoula, Montana",4,"#999999, #660033",3,Grizzles,3,19.75
13,Washington,7,West,"Seattle, Washington",5,"#4B2e83, #85754d",5,Huskies,5,31.25
14,Wofford,10,West,"Spartanburg, South Carolina",3,"#846F51, #000000",3,Terriers,2,15.75
15,Michigan,2,West,"Ann Arbor, Michigan",5,"#ffcb05, #00274c",4,Wolverines,5,29.0
16,Texas State,15,West,"San Marcos, Texas",2,"#8d734a, #501214",1,Bobcats,5,19.25
17,Kentucky,1,Midwest,"Lexington, Kentucky",4,"#0033a0, #FFFFFF",3,Wildcats,5,25.75
18,Prairie View,16,Midwest,"Prairie View, Texas",1,"#2D0962, #F8CD46",4,Panthers,5,25.0
19,Louisville,8,Midwest,"Louisville, Kentucky",3,"#9F1F14, #000000",3,Cardinals,3,18.75
20,Oklahoma,9,Midwest,"Norman, Oklahoma",1,"#841617, #fdf9d8",2,Sooners,1,8.5
21,Kansas State,5,Midwest,"Manhattan, Kansas",1,"#a7a7a7, #512888",5,Wildcats,5,27.25
22,Clemson,12,Midwest,"Clemson, South Carolina",3,"#F56600, #522D80",5,Tigers,5,29.25
23,Maryland,4,Midwest,"College Park, Maryland",2,"#E03a3e, #ffd520",2,Terrapin,1,9.5
24,Hofstra,13,Midwest,"Hempstead, New York",3,"#0D368C, #F6C952",4,Pride,3,21.0
25,Iowa,6,Midwest,"Iowa City, Iowa",3,"#FFCD00, #00000",3,Hawkeyes,4,21.75
26,Arizona State,11,Midwest,"Tempe, Arizona",4,"#8c1d40, #FFC627",1,Sun Devils,2,12.25
27,Houston,3,Midwest,"Houston, Texas",4,"#C8102E, #76232F",2,Cougars,4,20.5
28,UC Irvine,14,Midwest,"Irvine, California",5,"#0C2340, #FFC72C",4,Anteaters,5,29.0
29,Villanova,7,Midwest,"Villanova, Pennsylvania",2,"#13b5ea, #00205b",2,Wildcats,5,21.5
30,TCU,10,Midwest,"Fort Worth, Texas",3,"#4D1979, #A3A9AC",5,Horned Frogs,4,26.25
31,North Carolina,2,Midwest,"Chapel Hill, North Carolina",4,"#7BAFD4, #FFFFFF",2,Tar Heels,1,11.5
32,Loyola-Chicago,15,Midwest,"Chicago, Illinois",2,"#530e11, #e5a92a",1,Ramblers,1,7.25
33,Duke,1,East,"Durham, North Carolina",3,"#235f9c, #003366",4,Blue Devils,2,18.0
34,Bucknell,16,East,"Lewisburg, Pennsylvania",2,"#123862, #DF642C",1,Bison,3,13.25
35,Ole Miss,8,East,"Oxford, Mississippi",1,"#CE1126, #006BA6",4,Rebels,1,13.0
36,VCU,9,East,"Richmond, Virginia",4,"#000000, #ffb300",3,Rams,3,19.75
37,Iowa State,5,East,"Ames, Iowa",2,"#c8102e, #f1be48",1,Cyclones,1,7.25
38,Ohio State,12,East,"Columbus, Ohio",2,"#666666, #bb0000",3,Buckeyes,2,14.75
39,Nevada,4,East,"Reno, Nevada",3,"#003366, #807f84",4,Wolf Pack,5,27.0
40,Yale,13,East,"New Haven, Connecticut",3,"#00356b, #FFFFFF",1,Bulldogs,5,20.25
41,Virginia Tech,6,East,"Blacksburg, Virginia",3,"#cf4420, #63003",3,Hokies,1,12.75
42,Minnesota,11,East,"Minneapolis, Minnesota",1,"#FFCC33, #7A0019",1,Golden Gophers,2,9.25
43,Marquette,3,East,"Milwaukee, Wisconsin",1,"#003366, #ffcc00",4,Golden Eagles,3,19.0
44,Vermont,14,East,"Burlington, Vermont",3,"#2F6F57, #F9D44C",1,Catamounts,1,8.25
45,Baylor,7,East,"Waco, Texas",1,"#003015, #Fecb00",1,Bears,2,9.25
46,UCF,10,East,"Orlando, Florida",3,"#ceb888, #000000",3,Knights,1,12.75
47,Michian State,2,East,"East Lansing, Michigan",1,"#FFFFFF, #18453b",1,Spartans,1,6.25
48,Wright State,15,East,"Fairborn, Ohio",2,"#FFE1A5, #CEA052",1,Raiders,1,7.25
49,Virginia,1,South,"Charlottesville, Virginia",3,"#232d4b, #F84C1E",4,Cavaliers,1,15.0
