Unique Id,School,NCAA Rank,Conference,Location,Location Rank,Colors,Color Rank,Mascot,Mascot Rank
1,Gonzaga,1,West,"Spokane, Washington",4,Blue / Red,4,Bulldogs,5
2,Duke,1,East,"Durham, North Carolina",3,Blue / Dark Blue,4,Blue Devils,2
3,Virginia,1,South,"Charlottesville, Virginia",3,Blue / Orange,4,Cavaliers,1
4,Kentucky,1,Midwest,"Lexington, Kentucky",4,Blue / White,3,Wildcats,5
5,Tennessee,2,South,"Knoxville, Tennessee",2,Orange / White,3,Volunteers,1
6,North Carolina,2,Midwest,"Chapel Hill, North Carolina",4,Light Blue / White,2,Tar Heels,1
7,Michian State,2,East,"East Lansing, Michigan",1,Green / White,1,Spartans,1
8,Michigan,2,West,"Ann Arbor, Michigan",5,Blue / Yellow,4,Wolverines,5
9,Houston,3,Midwest,"Houston, Texas",4,Red / Dark Red,2,Cougars,4
10,Purdue,3,South,"West Lafayette, Indiana",1,Black / Gold,3,Boilermaker,2
11,Marquette,3,East,"Milwaukee, Wisconsin",1,Blue / Yellow,4,Golden Eagles,3
12,Kansas,3,West,"Lawrence, Kansas",1,Blue / Red,4,Jayhawks,2
13,LSU,4,West,"Baton Rouge, Louisiana",3,Purple / Gold,5,Tigers,4
14,Maryland,4,Midwest,"College Park, Maryland",2,Red / Gold,2,Terrapin,1
15,Texas Tech,4,South,"Lubbock, Texas",2,Red / Black,3,Red Raiders,1
16,Nevada,4,East,"Reno, Nevada",3,Blue / Grey,4,Wolf Pack,5
17,Kansas State,5,Midwest,"Manhattan, Kansas",1,Purple / Grey,5,Wildcats,5
18,Iowa State,5,East,"Ames, Iowa",2,Red / Gold,1,Cyclones,1
19,Florida State,5,West,"Tallahassee, Florida",2,Red / Gold,1,Seminoles,1
20,Wisconsin,5,South,"Madison, Wisconsin",1,Red / Dark Red,2,Badgers,4
21,Virginia Tech,6,East,"Blacksburg, Virginia",3,Red / Orange,3,Hokies,1
22,Iowa,6,Midwest,"Iowa City, Iowa",3,Black / Gold,3,Hawkeyes,4
23,Cincinnati,6,South,"Cincinnati, Ohio",1,Red / Black,3,Bearcats,3
24,Buffalo,6,West,"Buffalo, New York",1,Blue / White,2,Bulls,3
25,Washington,7,West,"Seattle, Washington",5,Purple / Gold,5,Huskies,5
26,Baylor,7,East,"Waco, Texas",1,Green / Gold,1,Bears,2
27,Syracuse,7,South,"Syracuse, New York",3,Orange / Grey,5,Orange,1
28,Mississippi State,8,South,"Starkville, Mississippi",1,Red / White,1,Bulldogs,5
29,Louisville,8,Midwest,"Louisville, Kentucky",3,Black / Red,3,Cardinals,3
30,St. John's,8,West,"New York City, New York",5,Red / Blue,4,Red Storm,1
31,Ole Miss,8,East,"Oxford, Mississippi",1,Red / Blue,4,Rebels,1
32,Oklahoma,9,Midwest,"Norman, Oklahoma",1,Red / Cream,2,Sooners,1
33,NC State,9,West,"Raleigh, North Carolina",4,Red / Black,3,Wolfpack,5
34,Temple,9,South,"Philadelphia, Pennsylvania",2,Red / Yellow,1,Owls,3
35,UCF,10,East,"Orlando, Florida",3,Black / Gold,3,Knights,1
36,TCU,10,Midwest,"Fort Worth, Texas",3,Purple / White,4,Horned Frogs,4
37,Wofford,10,West,"Spartanburg, South Carolina",3,Black / Gold,3,Terriers,2
38,Texas,10,South,"Austin, Texas",5,Orange / Grey,5,Longhorns,4
39,Florida,11,West,"Gainesville, Florida",1,Blue / Orange,5,Gators,4
40,Arizona State,11,Midwest,"Tempe, Arizona",4,Red / Gold,1,Sun Devils,2
41,Seton Hall,11,South,"Newark, New Jersey",1,Blue / Grey,5,Pirates,1
42,Minnesota,11,East,"Minneapolis, Minnesota",1,Red / Yellow,1,Golden Gophers,2
43,Ohio State,12,East,"Columbus, Ohio",2,Red / Grey,3,Buckeyes,2
44,Alabama,12,East,"Tuscaloosa, Alabama",1,Red / Grey,3,Crimson Tide,1
45,Auburn,12,Midwest,"Auburn, Alabama",1,Blue / Orange,5,Tigers,5
46,Clemson,12,Midwest,"Clemson, South Carolina",3,Orange / Purple,5,Tigers,5
47,Belmont,12,West,"Nashville, Tennessee",4,Blue / Red,4,Bruins,1
48,New Mexico State,12,South,"Las Cruces, New Mexico",4,Red / White,1,Aggies,2
49,Lipscomb,13,West,"Nashville, Tennessee",4,Purple / Gold,5,Bisons,3
50,Hofstra,13,Midwest,"Hempstead, New York",3,Blue / Gold,4,Pride,3
51,Yale,13,East,"New Haven, Connecticut",3,Blue / White,1,Bulldogs,5
52,Old Dominion,13,South,"Norfolk, Virginia",3,Blue / Grey,5,Monarchs,1
53,Vermont,14,East,"Burlington, Vermont",3,Green / Gold,1,Catamounts,1
54,UC Irvine,14,Midwest,"Irvine, California",5,Blue / Gold,4,Anteaters,5
55,South Dakota State,14,South,"Brookings, South Dakota",2,Blue / Yellow,4,Jackrabbits,4
56,Montana,14,West,"Missoula, Montana",4,Red / Grey,3,Grizzles,3
57,Texas State,15,West,"San Marcos, Texas",2,Red / Gold,1,Bobcats,5
58,Wright State,15,East,"Fairborn, Ohio",2,Green / Gold,1,Raiders,1
59,Loyola-Chicago,15,Midwest,"Chicago, Illinois",2,Red / Gold,1,Ramblers,1
60,Radford,15,South,"Radford, Virginia",3,Red / White,1,Highlanders,2
61,Bucknell,16,East,"Lewisburg, Pennsylvania",2,Red / White,1,Bison,3
62,Sam Houston State,16,West,"Huntsville, Texas",3,Orange / White,3,Bearkats,4
63,Prairie View,16,Midwest,"Prairie View, Texas",1,Purple / Gold,4,Panthers,5
64,Norfolk State,16,Midwest,"Norfolk, Virginia",2,Green / Gold,1,Spartans,1
65,St. Francis PA,16,South,"Loretta, Pennslyvania",1,Red / White,1,Red Flash,1
66,Iona,16,South,"New Rochelle, NY",3,Red / Gold,1,Gaels,2
