School 1,Conference,School 2
Gonzaga,West,Sam Houston State
St. John's,West,NC State
Florida State,West,Belmont
LSU,West,Lipscomb
Buffalo,West,Florida
Kansas,West,Montana
Washington,West,Wofford
Michigan,West,Texas State
Kentucky,Midwest,Prairie View
Louisville,Midwest,Oklahoma
Kansas State,Midwest,Clemson
Maryland,Midwest,Hofstra
Iowa,Midwest,Arizona State
Houston,Midwest,UC Irvine
Villanova,Midwest,TCU
North Carolina,Midwest,Loyola-Chicago
Duke,East,Bucknell
Ole Miss,East,VCU
Iowa State,East,Ohio State
Nevada,East,Yale
Virginia Tech,East,Minnesota
Marquette,East,Vermont
Baylor,East,UFC
Michigan State,East,Wright State
Virginia,South,Iona
Tennessee,South,Radford
Purdue,South,S. Dakota St.
Texas Tech,South,Old Dominion
Wisconsin,South,New Mexico State
Cincinnati,South,Seton Hall
Syracuse,South,Texas
Mississippi State,South,Temple
