Conference,School 1,School 2
West,Gonzaga,Sam Houston State
West,St. John's,NC State
West,Florida State,Belmont
West,LSU,Lipscomb
West,Buffalo,Florida
West,Kansas,Montana
West,Washington,Wofford
West,Michigan,Texas State
Midwest,Kentucky,Prairie View/Norfolk State
Midwest,Louisville,Oklahoma
Midwest,Kansas State,Auburn/Clemson
Midwest,Maryland,Hofstra
Midwest,Iowa,Arizona State
Midwest,Houston,UC Irvine
Midwest,Villanova,TCU
Midwest,North Carolina,Loyola-Chicago
East,Duke,Bucknell
East,Ole Miss,VCU
East,Iowa State,Ohio State/Alabama
East,Nevada,Yale
East,Virginia Tech,Minnesota
East,Marquette,Vermont
East,Baylor,UFC
East,Michigan State,Wright State
South,Virginia,St. Francis PA/Iona
South,Tennessee,Radford
South,Purdue,S. Dakota St.
South,Texas Tech,Old Dominion
South,Wisconsin,New Mexico State
South,Cincinnati,Seton Hall
South,Syracuse,Texas
South,Mississippi State,Temple
