id,name,abbreviation,displayName,location,color,alternateColor
1,Seawolves,UAA,Alaska Anchorage Seawolves,Alaska Anchorage,000000,
2,Tigers,AUB,Auburn Tigers,Auburn,03244d,f1f2f3
3,Panthers,BSC,Birmingham-Southern Panthers,Birmingham-Southern,000000,
4,Bulldogs,ALT,DeSales Bulldogs,DeSales,,
5,Blazers,UAB,UAB Blazers,UAB,054338,ffc845
6,Jaguars,SALA,South Alabama Jaguars,South Alabama,003E7E,
7,Mammoths,AMH,Amherst College Mammoths,Amherst College,000000,
8,Razorbacks,ARK,Arkansas Razorbacks,Arkansas,9c1831,000000
9,Sun Devils,ASU,Arizona State Sun Devils,Arizona State,942139,f1f2f3
11,Mavericks,MESA,Mesa College Mavericks,Mesa College,000000,
12,Wildcats,ARIZ,Arizona Wildcats,Arizona,002449,00205b
13,Mustangs,CP,Cal Poly Mustangs,Cal Poly,1E4D2B,eed897
14,Wildcats,CSU,Chico State Wildcats,Chico State,,
16,Hornets,SAC,Sacramento State Hornets,Sacramento State,00573C,cdb97d
17,Stags,CMS,Claremont Coll Stags,Claremont Coll,000000,
18,Bears,BWMA,Bridgewater State Bears,Bridgewater State,000000,
20,Knights,CAL,Calvin College Knights,Calvin College,,
21,Aztecs,SDSU,San Diego State Aztecs,San Diego State,BF2C37,a8996e
22,Gators,SFSU,San Francisco State Gators,San Francisco State,,
23,Spartans,SJSU,San José St Spartans,San José St,005893,fdba31
24,Cardinal,STAN,Stanford Cardinal,Stanford,A80532,ffffff
25,Golden Bears,CAL,California Golden Bears,California,031522,ffc423
26,Bruins,UCLA,UCLA Bruins,UCLA,005C8E,ffc72c
27,Highlanders,UCR,UC Riverside Highlanders,UC Riverside,14234F,
28,Tritons,UCSD,UC San Diego Tritons,UC San Diego,000000,
29,Bulldogs,RED,Redlands Bulldogs,Redlands,000000,
30,Trojans,USC,USC Trojans,USC,AE2531,ffc72c
32,Pioneers,CAR,Carroll (WI) Pioneers,Carroll (WI),000000,
33,Colby,COLBY,Colby Colby,Colby,000000,
35,Chargers,COLBY,Colby-Sawyer College Chargers,Colby-Sawyer College,,
36,Rams,CSU,Colorado State Rams,Colorado State,004537,ffc425
37,Clippers,CCD,Concordia College (NY) Clippers,Concordia College (NY),000000,
38,Buffaloes,COLO,Colorado Buffaloes,Colorado,d1c57e,ffd200
39,Camels,CON,Connecticut College Camels,Connecticut College,,
40,Curry,CURRY,Curry College Curry,Curry College,000000,
41,Huskies,CONN,UConn Huskies,UConn,001d40,f1f2f3
42,Hawks,HART,Hartford Hawks,Hartford,d60008,000000
43,Bulldogs,YALE,Yale Bulldogs,Yale,004a81,286dc0
44,Eagles,AMER,American Eagles,American,c41130,c8102e
45,Colonials,GW,George Washington Colonials,George Washington,002843,e8d2a1
46,Hoyas,GTWN,Georgetown Hoyas,Georgetown,110E42,001c58
47,Bison,HOW,Howard Bison,Howard,9e0b0e,6b818d
48,Blue Hens,DEL,Delaware Blue Hens,Delaware,033594,e8ce31
49,Spartans,DUB,Dubuque Spartans,Dubuque,000000,
50,Rattlers,FAMU,Florida A&M Rattlers,Florida A&M,F89728,00843d
51,Moccasins,FSO,Florida Southern Moccasins,Florida Southern,,
52,Seminoles,FSU,Florida State Seminoles,Florida State,782F40,ceb888
53,Panthers,FIT,Florida Tech Panthers,Florida Tech,000000,
55,Gamecocks,JVST,Jacksonville State Gamecocks,Jacksonville State,b50500,b5b7ba
56,Hatters,STET,Stetson Hatters,Stetson,18581c,d49d5d
57,Gators,FLA,Florida Gators,Florida,0021A5,0021a5
58,Bulls,USF,South Florida Bulls,South Florida,004A36,231f20
